Project_ID,dataset_link,Pubmed,pub_link,isInstrumentOK,isEnriched,phosphatase_inhib,biological_sample,cell_type,primary_type,labelling,labeltype,enzymes,fixed_modifications,variable_modifications,Tissue annotation (as provided by the user- so be careful as might be incorrect),PROJECT.size,Title,Description snipped,Publication_date,Submission Type,No of ASSAY files(applicable for COMPLETE only),PTM annotation (as provided by the user- so be careful as might be incorrect),MS instrument annotation (as provided by the user- so be careful as might be incorrect),Internal PRIDE Tag (curated)
PXD002072,https://www.ebi.ac.uk/pride/archive/projects/PXD002072,25939058,http://europepmc.org/abstract/MED/25939058,TRUE,TiO2 + IMAC,FALSE,"Breast cancer cell line, MCF7",MCF7,Breast,TMT,"[""TMT6plex""]","[""Trypsin""]","[""carbamidomethylation"",""TMT6plex""]","[""pSTY"",""deamidation"",""Meth_ox""]","[""cell culture""]",18.41,Low pH Solid Phase Amino-Labeling of Complex Peptide Digests with TMTs Improves Peptide Identification Rates for Multiplexed Global Phosphopeptide Analysis,We present a novel Tandem Mass Tag Solid Phase Amino Labeling (T,2015-04-21,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""TMT6plex-126 reporter+balance reagent acylated residue"",""deamidated residue""]","[""LTQ Orbitrap""]","[""Technical""]"
PXD001812,https://www.ebi.ac.uk/pride/archive/projects/PXD001812,26330541,http://europepmc.org/abstract/MED/26330541,TRUE,TiO2 + Anti-P-Tyr,FALSE,"Breast cancer cell line, MCF7 (Tamoxifen resitant and control)",MCF7,Breast,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""breast cell line""]",15.29,Phosphoproteomic analysis of tamoxifen resistant breast cancer,"Tamoxifen, an antagonist to estrogen receptor (ER), is a first l",2016-05-25,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""6x(13)C,2x(15)N labeled L-lysine"",""monohydroxylated residue"",""6x(13)C,4x(15)N labeled L-arginine""]","[""LTQ Orbitrap Velos""]","[""Biomedical""]"
PXD000472,https://www.ebi.ac.uk/pride/archive/projects/PXD000472,24425749,http://europepmc.org/abstract/MED/24425749,TRUE,TiO2,FALSE,"Breast cancer cell line, MCF7",MCF7,Breast,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox"",""pyro-glu""]","[""cell culture""]",8.84,Environmental stress affects the activity of metabolic and growth factor signaling networks and induces autophagy markers in breast cancer cell lines,The breast cancer cell line MCF7 was exposed to RT comditions fo,2014-04-10,COMPLETE,12,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""deaminated residue"",""monohydroxylated residue""]","[""LTQ Orbitrap""]",[]
PXD004357,https://www.ebi.ac.uk/pride/archive/projects/PXD004357,27362937,http://europepmc.org/abstract/MED/27362937,TRUE,TiO2,FALSE,"Breast cancer cell lines, MCF7 and BT474 retinoic acid resitant and not resistant",MCF7 and BT474,Breast,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]","[""cell culture""]",8.56,Phosphoproteome of RA-responsive and RA-resistant breast cancer cell lines,"Retinoic acid (RA), the main active vitamin A metabolite, contro",2016-07-04,PARTIAL,0,"[""phosphorylated residue""]","[""LTQ Orbitrap Elite""]","[""Biological"",""Biomedical""]"
PXD001222,https://www.ebi.ac.uk/pride/archive/projects/PXD001222,26356563,http://europepmc.org/abstract/MED/26356563,TRUE,anti-P-Tyr,FALSE,"Breast cancer cell-line, MDA-MB-231",MDA-MB-231 and other triple negative,Breast,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""deamidation"",""Meth_ox""]","[""cell culture""]",32.92,Global phosphotyrosine survey reveals activation of multiple tyrosine kinase signaling pathways in triple negative breast cancer,About 15-20% of all breast cancers are triple negative breast ca,2016-07-06,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue""]","[""LTQ Orbitrap Velos""]",[]
PXD001114,https://www.ebi.ac.uk/pride/archive/projects/PXD001114,25419962,http://europepmc.org/abstract/MED/25419962,TRUE,TiO2,FALSE,"Breast cancer cell-line, MDA-MB-231 (several PXDs)",MDA-MB-231,Breast,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin"",""Lysarginase""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",32.52,"Characterization of LysargiNase for use in phosphoproteomics experiments, partII",Use of parallel digest with LysargiNase and trypsin to cover com,2014-12-16,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""6x(13)C labeled residue""]","[""LTQ Orbitrap""]","[""Technical""]"
PXD001121,https://www.ebi.ac.uk/pride/archive/projects/PXD001121,25419962,http://europepmc.org/abstract/MED/25419962,TRUE,TiO2,FALSE,"Breast cancer cell-line, MDA-MB-231 (several PXDs)",MDA-MB-231,Breast,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin"",""Lysarginase""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",10.46,"Characterization of LysargiNase for use in phosphoproteomics experiments, part 1",Use of parallel digest with LysargiNase (former name: ulilysin),2014-12-16,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""6x(13)C labeled residue""]","[""LTQ Orbitrap""]","[""Technical""]"
PXD002735,https://www.ebi.ac.uk/pride/archive/projects/PXD002735,26783066,http://europepmc.org/abstract/MED/26783066,TRUE,TiO2,FALSE,"Breast cancer cell-line, MDA-MB-231",MDA-MB-231,Breast,TMT,"[""TMT6plex""]","[""Trypsin""]","[""carbamidomethylation"",""TMT6plex""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",[],5.12,Quantitative Phosphoproteomics Reveals Genistein as a Modulator of Cell Cycle and DNA Damage Response Pathways,Around one sixth of breast cancer cases are classified as triple,2016-01-26,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""TMT6plex-126 reporter+balance reagent acylated residue"",""acetylated residue""]","[""LTQ Orbitrap Velos""]","[""Biomedical""]"
PXD001739,https://www.ebi.ac.uk/pride/archive/projects/PXD001739,25690013,http://europepmc.org/abstract/MED/25690013,TRUE,anti-P-Tyr,FALSE,"Breast cancer cell-line, MDA-MB-231 (shPTPN14 and control)",MDA-MB-231,Breast,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",2.83,The tyrosine phosphatase Pez (PTPN14) inhibits metastasis by altering protein trafficking,PTPN14 coordinately regulates receptor trafficking and secretion,2016-06-08,PARTIAL,0,"[""phosphorylated residue""]","[""LTQ Orbitrap Velos""]",[]
PXD004981,https://www.ebi.ac.uk/pride/archive/projects/PXD004981,28209619,http://europepmc.org/abstract/MED/28209619,TRUE,IMAC,FALSE,Breast Parental BT474 cells and lapatinib resistant clone BT-474-J4,BT-474,Breast,dimethyl,"[""DiMe8"",""DiMe4""]","[""Trypsin""]","[""carbamidomethylation"",""DiMe8"",""DiMe4""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",[],150.16,Lapatinib action and resistance in breast cancer,We used an established cell line model of lapatinib resistance a,2017-02-27,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue""]","[""Q Exactive""]",[]
PXD002425,https://www.ebi.ac.uk/pride/archive/projects/PXD002425,26852163,http://europepmc.org/abstract/MED/26852163,TRUE,TiO2,FALSE,Bone Osteosarcoma cell line 143B.TK ,143B.TK ,Bone Osteosarcoma,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""bone marrow""]",254.56,An impaired respiratory electron chain triggers down-regulation of the energy metabolism and de-ubiquitination of solute carrier amino acid transporters,We integrated metabolome and proteome profiles of the parental c,2016-02-08,PARTIAL,0,"[""ubiquitination signature dipeptidyl lysine"",""phosphorylated residue""]","[""Q Exactive""]","[""Biological"",""Biomedical""]"
PXD000222,https://www.ebi.ac.uk/pride/archive/projects/PXD000222,23612710,http://europepmc.org/abstract/MED/23612710,TRUE,TiO2,FALSE,"Bone Osteosarcoma Epithelial Cells, U2OS",U2OS,Bone Osteosarcoma,dimethyl,"[""DiMe4""]","[""Trypsin""]","[""carbamidomethylation"",""DiMe4""]","[""pSTY"",""Meth_ox""]","[""cell culture""]",88.89,Comparative Phosphoproteomic Analysis of G2-checkpoint Recovery,Comparative phosphoproteomic analysis of checkpoint recovery ide,2013-04-28,COMPLETE,5,"[""formylated residue"",""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""dihydroxylated residue""]","[""LTQ Orbitrap"",""LTQ"",""LTQ-Orbitrap MS""]",[]
PXD003529,https://www.ebi.ac.uk/pride/archive/projects/PXD003529,27723717,http://europepmc.org/abstract/MED/27723717,TRUE,TiO2,FALSE,"Bone Osteosarcoma Epithelial Cells, U2OS cells stably expressing GFP-ETAA1-AAD-ERT2",U2OS,Bone Osteosarcoma,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""Egg"",""cell culture""]",86.65,Activation of the ATR kinase by the RPA-binding protein ETAA1,The ATR kinase is a master regulator of cellular responses to DN,2016-09-30,PARTIAL,0,"[""phosphorylated residue""]","[""Q Exactive""]","[""Biological""]"
PXD002135,https://www.ebi.ac.uk/pride/archive/projects/PXD002135,26572502,http://europepmc.org/abstract/MED/26572502,TRUE,TiO2,FALSE,"Bone Osteosarcoma Epithelial Cells, U2OS",U2OS,Bone Osteosarcoma,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",30.63,ATR inhibition rewires cellular signaling networks in response to pathologic replication stress,DNA replication stress is the major cause of genomic instability,2015-11-24,PARTIAL,0,"[""phosphorylated residue""]","[""Q Exactive""]","[""Biomedical""]"
PXD003712,https://www.ebi.ac.uk/pride/archive/projects/PXD003712,28069995,http://europepmc.org/abstract/MED/28069995,TRUE,TiO2,FALSE,"Bone Osteosarcoma Epithelial Cells, U2OS",U2OS,Bone Osteosarcoma,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",7.61,ATM INDUCES MACROD2 NUCLEAR EXPORT UPON DNA DAMAGE,ADP-ribosylation is a dynamic post-translation modification that,2016-10-12,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue""]","[""LTQ Orbitrap""]","[""Biological""]"
PXD006475,https://www.ebi.ac.uk/pride/archive/projects/PXD006475,24247654,http://europepmc.org/abstract/MED/24247654,TRUE,IMAC,FALSE,Bone Marrow,Bone Marrow,Bone Marrow,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",,,,,2017-05-10,,,,,
PXD000901,https://www.ebi.ac.uk/pride/archive/projects/PXD000901,26388441,http://europepmc.org/abstract/MED/26388441,TRUE,TiO2,FALSE,"Ovarian (Es2, Ovas, Ovise, Tov-21 and Koc-7c)",ES2/OVAS/OVISE/TOV21/KOC-7C,Ovarian,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",628.14,Phospho-networks in Ovarian Cancer Cell Lines,Cancer cells acquire pathological phenotypes through accumulatio,2016-07-08,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue""]","[""Q Exactive""]","[""Biomedical""]"
PXD002394,https://www.ebi.ac.uk/pride/archive/projects/PXD002394,28455291,http://europepmc.org/abstract/MED/28455291,TRUE,TiO2,FALSE,M019i (Ovarian),M019i,Ovarian,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",,,,,2017-05-02,,,,,
PXD003531,https://www.ebi.ac.uk/pride/archive/projects/PXD003531,28355574,http://europepmc.org/abstract/MED/28355574,TRUE,TiO2,FALSE,Malignant neoplasm of ovary (epithelia),Primary-Ovarian,Ovarian,label-free,NA,"[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox"",""pyro-glu""]",,,,,2017-04-03,,,,,
PXD003708,https://www.ebi.ac.uk/pride/archive/projects/PXD003708,27987026,http://europepmc.org/abstract/MED/27987026,TRUE,TiO2 + IMAC,FALSE,Colorectal cancer cell lines SW480 and SW620,SW480,Colorectal,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]","[""cell culture""]",138.45,Phosphoproteome of a patient-matched cell line model of colon cancer metastasis,The contributions of phosphorylation-mediated signaling networks,2017-01-06,PARTIAL,0,"[""phosphorylated residue""]","[""Q Exactive""]","[""Biomedical""]"
PXD000089,https://www.ebi.ac.uk/pride/archive/projects/PXD000089,23312004,http://europepmc.org/abstract/MED/23312004,TRUE,IMAC,FALSE,Colorectal cancer tissue and tumor-adjacent normal tissue,SW480 & Healthy & Primary & HCT116,Colorectal,iTRAQ & SILAC & label-free,"[""iTRAQ4plex""][""Arg10"",""Lys6""]","[""Trypsin""]","[""carbamidomethylation"", ""iTRAQ4plex""][""carbamidomethylation""]","[""pSTY"",""Meth_ox""]",[],256.01,Proteomic and phosphoproteomic data of colorectal cancer tissues and cells for Chromosome-Centric Human Proteome Project,Protein extraction and proteolytic digestion were performed usin,2013-01-11,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""iTRAQ4plex-116 reporter+balance reagent acylated residue"",""monohydroxylated residue"",""6x(13)C labeled L-lysine"",""6x(13)C,4x(15)N labeled L-arginine""]","[""LTQ Orbitrap Velos""]","[""Chromosome-centric Human Proteome Project (C-HPP)"",""Human Proteome Project"",""Biomedical""]"
PXD001550,https://www.ebi.ac.uk/pride/archive/projects/PXD001550,25841592,http://europepmc.org/abstract/MED/25841592,TRUE,TiO2,FALSE,8 colorectal cancer (CRC) cell lines (related to PXD001546),Colorectal,Colorectal,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",33.05,Human CRC cell line baseline phosphoproteomics,There is a need for robust phosphopeptide enrichment methods to,2015-04-15,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""acetylated residue""]","[""Q Exactive""]","[""Technical"",""Biomedical""]"
PXD001546,https://www.ebi.ac.uk/pride/archive/projects/PXD001546,25841592,http://europepmc.org/abstract/MED/25841592,TRUE,TiO2,FALSE,8 colorectal cancer (CRC) cell lines (related to PXD001550),Colorectal,Colorectal,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",14.35,Reproducibility of label-free single-shot phosphoproteomics applied to CRC cell lines,There is a need for robust phosphopeptide enrichment methods to,2015-04-15,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""acetylated residue""]","[""Q Exactive""]","[""Technical"",""Biomedical""]"
PXD002172,https://www.ebi.ac.uk/pride/archive/projects/PXD002172,27526785,http://europepmc.org/abstract/MED/27526785,TRUE,TiO2,FALSE,"Colorectal microsatellite instable cell line, HCT116",HCT116,Colorectal,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox"",""pyro-glu""]","[""cell culture""]",58.79,miR-625-3p regulates oxaliplatin resistance by targeting MAP2K6-p38 signaling in human colorectal adenocarcinoma cells,Oxaliplatin (oxPt) resistance in colorectal cancers (CRC) is a m,2016-08-12,PARTIAL,0,"[""phosphorylated residue""]","[""Q Exactive""]","[""Biomedical""]"
PXD001565,https://www.ebi.ac.uk/pride/archive/projects/PXD001565,25890253,http://europepmc.org/abstract/MED/25890253,TRUE,anti-P-Tyr,FALSE,"Colorectal cancer cells, HCT116 and U87 glioma",HCT116,Colorectal,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""colon"",""brain""]",10.68,Evaluation of phospho-tyrosine antibodies for label-free phosphoproteomics,In the past decade multiple tyrosine kinase inhibitors (TKIs) ha,2015-12-09,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""acetylated residue""]","[""Q Exactive""]","[""Technical""]"
PXD003908,https://www.ebi.ac.uk/pride/archive/projects/PXD003908,27273156,http://europepmc.org/abstract/MED/27273156,TRUE,TiO2? + anti-P-Tyr,FALSE,"Colon cancer cell line, HCT116",HCT116,Colorectal,label-free,NA,"[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]","[""cell culture""]",8.72,Phosphoproteomic analysis of MAPK signaling,"Using label-free mass spectrometry, we measured phosphorylation",2016-07-22,PARTIAL,0,"[""phosphorylated residue""]","[""LTQ Orbitrap""]","[""Biomedical""]"
PXD002127,https://www.ebi.ac.uk/pride/archive/projects/PXD002127,26471730,http://europepmc.org/abstract/MED/26471730,TRUE,TiO2,FALSE,Embryonic kidney cell line (HEK293) with PINK kinase constructs,HEK293,Renal,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",70.99,Phosphoproteome of PINK1 in HEK293 cells,triple SILAC phosphoproteomics experiment of Flp-In T-Rex HEK293,2015-09-16,PARTIAL,0,"[""phosphorylated residue""]","[""LTQ Orbitrap Velos""]","[""Biomedical""]"
PXD000680,https://www.ebi.ac.uk/pride/archive/projects/PXD000680,24532841,http://europepmc.org/abstract/MED/24532841,TRUE,TiO2,FALSE,Embryonic kidney cell line (HEK293 and HeLa),HEK293,Renal,SILAP,"[""SILAP_6Da""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""HeLa cell"",""HEK-293 cell""]",42.6,Stable isotope labeling of phosphoproteins for large-scale phosphorylation rate determination,Signals that control response to stimuli and cellular function a,2014-04-15,COMPLETE,112,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""acetylated residue""]","[""LTQ Orbitrap"",""LTQ Orbitrap Elite"",""Q Exactive""]",[]
PXD002646,https://www.ebi.ac.uk/pride/archive/projects/PXD002646,28509920,http://europepmc.org/abstract/MED/28509920,TRUE,TiO2 + ZrO2 + Fe2O3 + In2O3,FALSE,HEK293 Embryonic kidney cells,HEK293,Renal,label-free,NA,"[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]",,,,,2017-05-17,,,,,
PXD001962,https://www.ebi.ac.uk/pride/archive/projects/PXD001962,27107064,http://europepmc.org/abstract/MED/27107064,TRUE,TiO2 + IMAC,FALSE,"Renal cell carcinoma, ACHN",ACHN,Renal,dimethyl,"[""DiMe8""]","[""Trypsin"",""LysC""]","[""carbamidomethylation"", ""DiMe8""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",6.78,Phosphoproteomics of Human ACHN cells by estrogen,To find out the potential targets in response to estrogen treatm,2016-04-26,PARTIAL,0,"[""phosphorylated residue""]","[""LTQ Orbitrap""]","[""Biomedical""]"
PXD000242,https://www.ebi.ac.uk/pride/archive/projects/PXD000242,24324209,http://europepmc.org/abstract/MED/24324209,TRUE,TiO2,FALSE,Platelets,Platelets,Platelets,iTRAQ,"[""iTRAQ4plex""]","[""Trypsin""]","[""carbamidomethylation"", ""iTRAQ4plex""]","[""pSTY"",""Meth_ox""]",[],121.05,Iloprost (2/5 nM) stimulated Platelets,TiO2 enriched phosphopeptides of Iloprost stimulated platelets w,2013-12-02,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""iTRAQ4plex-116 reporter+balance reagent acylated residue"",""monohydroxylated residue""]","[""LTQ Orbitrap Velos""]",[]
PXD001189,https://www.ebi.ac.uk/pride/archive/projects/PXD001189,28060719,http://europepmc.org/abstract/MED/28060719,TRUE,TiO2,FALSE,Platelets,Platelets,Platelets,iTRAQ,"[""iTRAQ4plex""]","[""Trypsin""]","[""carbamidomethylation"", ""iTRAQ4plex""]","[""pSTY"",""Meth_ox""]",,,,,2017-03-14,,,,,
PXD000451,https://www.ebi.ac.uk/pride/archive/projects/PXD000451,24400094,http://europepmc.org/abstract/MED/24400094,TRUE,TiO2 + IMAC + Anti-P-Tyr,FALSE,Platelets from healthy donors,Platelets,Platelets,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]",[],13.17,Phosphoproteomic analysis of platelets activated by pro-thrombotic oxidized phospholipids and thrombin,Phosphoproteomic analysis of platelets activated by pro-thrombot,2013-12-02,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue""]","[""LTQ Orbitrap""]",[]
PXD000439,https://www.ebi.ac.uk/pride/archive/projects/PXD000439,24135919,http://europepmc.org/abstract/MED/24135919,TRUE,IMAC,FALSE,KRAS-mutated NSCLC cell lines (MzXML),,Lung,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]",[],87.54,Reconstructing targetable pathways in lung cancer by integrating diverse omics data,"We profile transcriptome, proteome and phosphoproteome in a pane",2014-06-24,PARTIAL,0,"[""2-pyrrolidone-5-carboxylic acid (Glu)"",""O4&apos;-phospho-L-tyrosine"",""O-phospho-L-threonine"",""monohydroxylated residue"",""2-pyrrolidone-5-carboxylic acid (Gln)"",""O-phospho-L-serine"",""S-carboxamidomethyl-L-cysteine""]","[""LTQ Velos""]","[""Biomedical""]"
PXD000836,https://www.ebi.ac.uk/pride/archive/projects/PXD000836,24702127,http://europepmc.org/abstract/MED/24702127,TRUE,IMAC,FALSE,Healthy lung samples,Lung,Lung,label-free,NA,"[""Trypsin""]",,"[""pSTY"",""Meth_ox"", ""Methil_tio""]","[""lung""]",61.4,HOPE-fixation of lung tissue allows retrospective proteome and phosphoproteome studies,Hepes-glutamic acid buffer mediated Organic solvent Protection E,2014-05-22,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue""]","[""LTQ Orbitrap Velos""]",[]
PXD001101,https://www.ebi.ac.uk/pride/archive/projects/PXD001101,25404012,http://europepmc.org/abstract/MED/25404012,TRUE,TiO2,FALSE,"2 lung adenocarcinoma cell lines, H3255 and H1975",H3255/H1975,Lung,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""deamidation"",""Meth_ox""]","[""lung""]",36.45,Identifying novel targets of oncogenic EGF receptor signaling in lung cancer through global phosphoproteomics,Mutations in the epidermal growth factor receptor (EGFR) kinase,2015-01-30,PARTIAL,0,"[""phosphorylated residue""]","[""LTQ Orbitrap"",""LTQ Orbitrap Elite""]","[""Biomedical""]"
PXD004373,https://www.ebi.ac.uk/pride/archive/projects/PXD004373,28331001,http://europepmc.org/abstract/MED/28331001,TRUE,Anti-P-Tyr,FALSE,"11-18, H3255, PC9, and H1975 cell lines",11-18/H3255/PC9/H1975,Lung,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""deamidation"",""Meth_ox""]",,,,,2017-03-29,,,,,
PXD000728,https://www.ebi.ac.uk/pride/archive/projects/PXD000728,25814448,http://europepmc.org/abstract/MED/25814448,TRUE,IMAC,FALSE,Lung cancer cell (PC9 and PC9-IR) wiff files,,Lung,dimethyl & label-free,"[""DiMe4""]","[""Trypsin""]","[""carbamidomethylation"",""DiMe4""]","[""pSTY"",""Meth_ox""],[""pSTY"",""Meth_ox"",""dimethyl-Lys"",""dimethyl-Nter""]","[""lung""]",22.19,Large-scale determination of absolute phosphorylation stoichiometries in human cells by motif-targeting quantitative proteomics,We developed a motif-based isotopic quantitative method for dete,2015-03-30,PARTIAL,0,"[""phosphorylated residue""]","[""TripleTOF 5600""]","[""Biomedical""]"
PXD000696,https://www.ebi.ac.uk/pride/archive/projects/PXD000696,26503892,http://europepmc.org/abstract/MED/26503892,TRUE,IMAC,FALSE,Lung adenocarcinoma cells CL1–0,CL1-0,Lung,dimethyl,"[""DiMe4""]","[""Trypsin""]","[""carbamidomethylation"",""DiMe4""]","[""pSTY"",""Meth_ox""]","[""cell culture""]",13.58,Quantitative phosphoproteome of ecto-ATP synthase blockade in lung cancer cells,ATP synthase is crucial for ATP synthesis in living cells. Recen,2015-11-06,PARTIAL,0,"[""dimethylated residue"",""iodoacetamide derivatized residue"",""phosphorylated residue"",""2x(13)C"",""monohydroxylated residue""]","[""LTQ Orbitrap""]",[]
PXD003108,https://www.ebi.ac.uk/pride/archive/projects/PXD003108,27542207,http://europepmc.org/abstract/MED/27542207,TRUE,TiO2,FALSE,Lung cancer cells H358 cells,H358,Lung,SILAC,"[""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]","[""cell culture""]",6.8,p21-Activated kinase 6 (PAK6) is associated with enhanced proliferation in lung cells exposed chronically to cigarette smoke,Epidemiological data clearly establishes cigarette smoking as on,2016-12-14,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""6x(13)C labeled residue""]","[""LTQ Orbitrap Velos""]","[""Biomedical""]"
PXD006055,https://www.ebi.ac.uk/pride/archive/projects/PXD006055,28539327,http://europepmc.org/abstract/MED/28539327,TRUE,TiO2,FALSE,non-small cell lung carcinoma H1299 cells,H1299,Lung,TMT,"[""TMT10plex""]","[""Trypsin""]","[""carbamidomethylation"",""TMT10plex""]","[""pSTY"",""Meth_ox""]",,,,,2017-05-30,,,,,
PXD003627,https://www.ebi.ac.uk/pride/archive/projects/PXD003627,27307491,http://europepmc.org/abstract/MED/27307491,TRUE,TiO2,FALSE,"Adenocarcinomic alveolar basal epithelial cells, A549",A549,Lung,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox"",""Cys N-ethylmaleimide"",""di-glycine-lysine""]","[""cell culture""]",85.92,SPATA2 links CYLD to the TNF-a receptor signaling complex and modulates the receptor signaling outcomes,TNF-a is a key regulator of innate immune and proinflammatory re,2016-06-09,PARTIAL,0,"[""ubiquitination signature dipeptidyl lysine"",""phosphorylated residue""]","[""Q Exactive""]","[""Biological"",""Biomedical""]"
PXD004817,https://www.ebi.ac.uk/pride/archive/projects/PXD004817,28302921,http://europepmc.org/abstract/MED/28302921,TRUE,IMAC + TiO2,FALSE,"Adenocarcinomic alveolar basal epithelial cells, A549",A549,Lung,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""deamidation"",""Meth_ox""]",,,,,2017-03-20,,,,,
